"","depvar","covar","level","estimate","POR","LL","UL","P","AIC","nobs","ci_method","significance"
"1","v.inf","degree",NA,0.238634659065245,"1.27","0.75","2.14",0.36151491821023,96.6319963606532,79,"profile","ns"
"2","v.inf","degree.cat","1-2",1.04334960999319,"2.84","0.90","10.95",0.0948716274847407,96.2467959309233,79,"profile","ns"
"3","v.inf","degree.cat","3+",1.01160091167868,"2.75","0.31","20.30",0.322484425844706,96.2467959309233,79,"profile","ns"
"4","v.inf","connected","Connected",1.03977178864531,"2.83","0.91","10.77",0.0914761024321661,94.2479923883961,79,"profile","ns"
"5","v.inf","harmonic",NA,0.121778359459435,"1.13","0.87","1.46",0.344861608169482,96.5719874183471,79,"profile","ns"
"6","v.inf","betweenness",NA,-0.00561386351180482,"0.99","0.97","1.02",0.633040205589629,97.211560234355,79,"profile","ns"
"7","v.inf","kin.svi.med",NA,0.571157110925056,"1.77","0.93","3.67",0.098062357714402,94.4279844860504,79,"profile","ns"
"8","v.inf","kin.svi.relmed",NA,-0.0691243693832508,"0.93","0.53","1.64",0.80969573657465,97.4009958129902,79,"profile","ns"
"9","v.inf","kin.iva.med",NA,0.378103301264868,"1.46","0.84","3.00",0.203841536223267,95.6383149317521,79,"profile","ns"
"10","v.inf","kin.occ.inf","1",1.19625075823171,"3.31","1.17","9.56",0.0242791767695107,91.6975756388685,78,"profile","p<0.05"
"11","serology.child","degree",NA,0.233746106484343,"1.26","0.87","1.79",0.197959617164888,122.219248083221,173,"profile","ns"
"12","serology.child","degree.cat","1-2",-0.737296965133292,"0.48","0.15","1.52",0.207387583479396,120.379476236544,173,"profile","ns"
"13","serology.child","degree.cat","3+",0.721318057526636,"2.06","0.60","6.97",0.2421688553564,120.379476236544,173,"profile","ns"
"14","serology.child","connected","Connected",-0.253241570548752,"0.78","0.29","2.20",0.617019408928859,123.523335068866,173,"profile","ns"
"15","serology.child","harmonic",NA,0.0692645865457342,"1.07","0.85","1.33",0.540507806942872,123.402779146091,173,"profile","ns"
"16","serology.child","betweenness",NA,0.0122027381120334,"1.01","1.00","1.02",0.0391574829449398,120.045563863692,173,"profile","p<0.05"
"17","serology.child","kin.svi.med",NA,-0.142389504463048,"0.87","0.48","1.56",0.632646960602823,123.307166050454,172,"profile","ns"
"18","serology.child","kin.svi.relmed",NA,-0.441450095260047,"0.64","0.34","1.17",0.159698088222458,121.689437802193,173,"profile","ns"
"19","serology.child","kin.iva.med",NA,0.246391909105452,"1.28","0.93","1.79",0.103072739233655,121.322766569374,173,"profile","ns"
"20","serology.child","kin.occ.inf","1",0.832802291034965,"2.30","0.83","6.12",0.0967765421316087,121.137984695962,173,"profile","ns"
