,depvar,covar,level,estimate,POR,LL,UL,P,AIC,nobs,ci_method,significance
1,v.inf,degree,NA,-0.02815922,0.97,0.78,1.2,0.800535825,455.7552274,386,profile,ns
2,v.inf,degree.cat,"""1-2""",-0.139944607,0.87,0.54,1.39,0.559851084,457.4650541,386,profile,ns
3,v.inf,degree.cat,3+,-0.026433257,0.97,0.4,2.21,0.951093577,457.4650541,386,profile,ns
4,v.inf,connected,Connected,-0.123717771,0.88,0.56,1.4,0.593542217,455.5353761,386,profile,ns
5,v.inf,harmonic,NA,0.050573345,1.05,0.93,1.18,0.399010847,455.1174857,386,profile,ns
6,v.inf,betweenness,NA,0.003429488,1,0.99,1.02,0.587300483,455.5336798,386,profile,ns
7,v.inf,kin.svi.med,NA,0.583277262,1.79,1.39,2.35,1.31670251902098e-05,434.1334151,386,profile,p<0.001
8,v.inf,kin.svi.relmed,NA,-0.081016263,0.92,0.71,1.2,0.545029742,455.4525438,386,profile,ns
9,v.inf,kin.iva.med,NA,0.120656271,1.13,0.84,1.53,0.386432909,455.0813529,386,profile,ns
10,v.inf,kin.occ.inf,1,0.69697546,2.01,1.19,3.36,0.008113818,447.7387207,384,profile,p<0.01
11,serology.child,degree,NA,-0.069318144,0.93,0.72,1.18,0.581314649,459.2248664,702,profile,ns
12,serology.child,degree.cat,"""1-2""",-0.714349388,0.49,0.28,0.85,0.010321258,452.881506,702,profile,p<0.05
13,serology.child,degree.cat,3+,0.124052649,1.13,0.49,2.45,0.76044005,452.881506,702,profile,ns
14,serology.child,connected,Connected,-0.579522155,0.56,0.33,0.96,0.02959521,455.0323395,702,profile,p<0.05
15,serology.child,harmonic,NA,-0.084469096,0.92,0.8,1.04,0.203458552,457.8521544,702,profile,ns
16,serology.child,betweenness,NA,0.005650418,1.01,1,1.01,0.252283526,458.3507683,702,profile,ns
17,serology.child,kin.svi.med,NA,0.202777487,1.22,0.91,1.67,0.186272024,457.3201366,700,profile,ns
18,serology.child,kin.svi.relmed,NA,-0.017647505,0.98,0.75,1.29,0.897540527,459.5203905,702,profile,ns
19,serology.child,kin.iva.med,NA,0.142607837,1.15,0.94,1.36,0.106144538,457.4028773,702,profile,ns
20,serology.child,kin.occ.inf,1,0.641731194,1.9,1.11,3.18,0.016217969,454.0671588,702,profile,p<0.05
