"","variable","r","network"
"1","No. of seropositive",0.19,"Full network"
"2","Occ. of seropositive",0.15,"Full network"
"3","No. of seropositive children",0.15,"Full network"
"4","Occ. of seropositive child",0.03,"Full network"
"5","Ethnicity",0.72,"Full network"
"6","Mobility",0.26,"Full network"
"7","Social vulnerability",0.23,"Full network"
"8","Host availability",0.07,"Full network"
"9","Infestation w/ vector",0.17,"Full network"
"10","Infestation w/ infected vector",0.11,"Full network"
"11","Degree centrality",-0.16,"Full network"
"12","Betweenness centrality",0.49,"Full network"
"13","Harmonic centrality",0.85,"Full network"
"14","Degree centrality",-0.49,"Largest connected component"
"15","Betweenness centrality",0.17,"Largest connected component"
"16","Harmonic centrality",0.47,"Largest connected component"
